SUMLEV,REGION,DIVISION,STATE,STATE_NAME,POPESTIMATE_2019,POPEST_OVER18_2019,PCNT_POPEST_OVER18_2019,GDP_2019
10,0,0,0,United States,328239523,255200373,77.7,8.52282E+13
40,3,6,1,Alabama,4903185,3814879,77.8,9.23873E+11
40,4,9,2,Alaska,731545,551562,75.4,2.21625E+11
40,4,8,4,Arizona,7278717,5638481,77.5,1.46476E+12
40,3,7,5,Arkansas,3017804,2317649,76.8,5.32723E+11
40,4,9,6,California,39512223,30617582,77.5,1.25499E+13
40,4,8,8,Colorado,5758736,4499217,78.1,1.56114E+12
40,1,1,9,Connecticut,3565287,2837847,79.6,1.14256E+12
40,3,5,10,Delaware,973764,770192,79.1,3.01661E+11
40,3,5,11,District of Columbia,705749,577581,81.8,5.84778E+11
40,3,5,12,Florida,21477737,17247808,80.3,4.3734E+12
40,3,5,13,Georgia,10617423,8113542,76.4,2.46533E+12
40,4,9,15,Hawaii,1415872,1116004,78.8,3.89126E+11
40,4,8,16,Idaho,1787065,1338864,74.9,3.23644E+11
40,2,3,17,Illinois,12671821,9853946,77.8,3.5885E+12
40,2,3,18,Indiana,6732219,5164245,76.7,1.50842E+12
40,2,4,19,Iowa,3155070,2428229,77,7.79154E+11
40,2,4,20,Kansas,2913314,2213064,76,6.92569E+11
40,3,6,21,Kentucky,4467673,3464802,77.6,8.58686E+11
40,3,7,22,Louisiana,4648794,3561164,76.6,1.05543E+12
40,1,1,23,Maine,1344212,1095370,81.5,2.70074E+11
40,3,5,24,Maryland,6045680,4710993,77.9,1.71335E+12
40,1,1,25,Massachusetts,6892503,5539703,80.4,2.38224E+12
40,2,3,26,Michigan,9986857,7842924,78.5,2.1662E+12
40,2,4,27,Minnesota,5639632,4336475,76.9,1.52342E+12
40,3,6,28,Mississippi,2976149,2277566,76.5,4.75119E+11
40,2,4,29,Missouri,6137428,4766843,77.7,1.32833E+12
40,4,8,30,Montana,1068778,840190,78.6,2.08677E+11
40,2,4,31,Nebraska,1934408,1458334,75.4,5.08147E+11
40,4,8,32,Nevada,3080156,2387517,77.5,7.10459E+11
40,1,1,33,New Hampshire,1359711,1104458,81.2,3.54379E+11
40,1,2,34,New Jersey,8882190,6943612,78.2,2.57937E+12
40,4,8,35,New Mexico,2096829,1620991,77.3,4.16005E+11
40,1,2,36,New York,19453561,15425262,79.3,6.92764E+12
40,3,5,37,North Carolina,10488084,8187369,78.1,2.35084E+12
40,2,4,38,North Dakota,762062,581891,76.4,2.28146E+11
40,2,3,39,Ohio,11689100,9111081,77.9,2.79383E+12
40,3,7,40,Oklahoma,3956971,3004733,75.9,8.24232E+11
40,4,9,41,Oregon,4217737,3351175,79.5,1.00642E+12
40,1,2,42,Pennsylvania,12801989,10167376,79.4,3.25405E+12
40,1,1,44,Rhode Island,1059361,854866,80.7,2.54164E+11
40,3,5,45,South Carolina,5148714,4037531,78.4,9.85236E+11
40,2,4,46,South Dakota,884659,667558,75.5,2.13223E+11
40,3,6,47,Tennessee,6829174,5319123,77.9,1.52055E+12
40,3,7,48,Texas,28995881,21596071,74.5,7.54782E+12
40,4,8,49,Utah,3205958,2274774,71,7.54005E+11
40,1,1,50,Vermont,623989,509984,81.7,1.3914E+11
40,3,5,51,Virginia,8535519,6674671,78.2,2.21685E+12
40,4,9,53,Washington,7614893,5951832,78.2,2.39843E+12
40,3,5,54,West Virginia,1792147,1432580,79.9,3.12758E+11
40,2,3,55,Wisconsin,5822434,4555837,78.2,1.38922E+12
40,4,8,56,Wyoming,578759,445025,76.9,1.58585E+11
